program,time,simulated
simple-bcast,0.090648797,yes
simple-gather,0.754184939,yes
simple-scatter,0.270807464,yes
simple-send-recv,0.284830051,yes
simple-bcast,0.206652,no
simple-bcast,0.118740,no
simple-bcast,0.119407,no
simple-bcast,0.146643,no
simple-bcast,0.130702,no
simple-bcast,0.146729,no
simple-bcast,0.190714,no
simple-bcast,0.194626,no
simple-bcast,0.106656,no
simple-bcast,0.154774,no
simple-gather,0.114650,no
simple-gather,0.077256,no
simple-gather,0.093922,no
simple-gather,0.070413,no
simple-gather,0.072857,no
simple-gather,0.073463,no
simple-gather,0.071580,no
simple-gather,0.085284,no
simple-gather,0.082420,no
simple-gather,0.084248,no
simple-scatter,0.036650,no
simple-scatter,0.049985,no
simple-scatter,0.049827,no
simple-scatter,0.066664,no
simple-scatter,0.045835,no
simple-scatter,0.035222,no
simple-scatter,0.050239,no
simple-scatter,0.054788,no
simple-scatter,0.037890,no
simple-scatter,0.051112,no
simple-send-recv,0.026597,no
simple-send-recv,0.026654,no
simple-send-recv,0.022640,no
simple-send-recv,0.015915,no
simple-send-recv,0.026626,no
simple-send-recv,0.035982,no
simple-send-recv,0.016055,no
simple-send-recv,0.001062,no
simple-send-recv,0.011467,no
simple-send-recv,0.023981,no
